L,     d,     R,     A,     
16.744,32.224,18.944,2.652
14.702,36.603,18.679,2.455
15.283,31.875,16.907,2.853
16.208,31.732,19.195,3.564
16.894,26.939,20.465,4.611
16.054,33.890,20.269,4.771
16.459,34.235,23.828,2.155
16.686,35.425,18.574,2.952
15.633,39.653,21.609,1.398
16.024,29.921,23.417,1.068
13.984,45.345,22.990,0.074
14.790,39.594,18.788,2.045
16.516,32.313,19.279,3.497
14.167,29.469,23.494,2.697
15.435,31.076,19.366,0.769
15.566,39.045,22.004,3.355
14.571,39.011,17.430,4.611
16.272,39.599,18.335,1.299
14.294,32.570,17.772,1.476
16.662,38.504,23.669,2.795
13.609,41.946,16.847,3.712
14.604,34.236,20.707,2.114
16.264,32.799,20.750,2.389
15.290,48.434,20.105,0.501
16.553,37.599,21.986,0.389
15.464,35.480,25.892,2.216
14.994,36.288,19.379,4.210
15.634,30.003,14.292,2.138
17.236,36.693,22.555,2.324
15.184,32.872,21.068,2.351
15.106,40.472,19.033,2.248
15.316,22.367,19.374,4.835
15.175,39.667,21.204,2.020
15.243,28.002,21.182,1.174
13.538,40.118,23.026,4.640
16.725,31.286,23.604,1.905
16.414,36.435,23.688,3.069
15.084,42.428,21.134,3.459
15.788,34.485,20.427,2.194
15.687,33.808,19.625,3.758
16.411,37.332,18.314,2.835
13.753,32.771,25.638,2.214
15.341,29.482,17.010,2.066
14.767,37.699,19.502,2.427
15.513,39.099,22.592,2.002
14.147,35.464,20.502,0.414
15.521,33.022,22.854,3.488
15.993,35.076,19.387,0.700
14.714,32.550,25.416,1.572
14.996,29.791,21.959,1.539
14.742,34.430,20.638,3.772
14.925,32.407,20.996,1.072
15.900,39.231,15.551,1.330
16.170,34.082,24.277,0.000
14.538,34.225,15.724,0.565
16.821,35.301,18.349,2.502
14.743,33.419,19.890,2.394
15.491,36.514,17.242,2.638
13.926,36.225,25.063,0.341
14.349,37.973,23.794,2.449
13.745,32.492,16.197,2.684
16.427,42.819,19.087,1.317
15.710,31.516,21.037,1.311
14.907,37.117,18.153,3.820
16.106,34.362,19.357,0.628
16.076,26.352,17.341,0.139
14.019,32.903,15.859,1.454
16.664,28.754,20.340,0.269
14.594,30.481,22.951,3.833
14.126,26.759,19.265,1.278
14.142,24.425,25.232,0.943
17.214,40.320,20.405,2.873
16.756,27.198,21.299,0.111
15.217,36.136,17.808,3.200
16.674,33.760,21.115,1.264
16.039,35.584,21.469,3.062
15.698,36.961,15.170,2.354
15.542,30.390,20.569,3.218
15.508,40.082,25.734,4.746
15.300,42.758,20.897,0.000
15.704,45.919,17.193,1.839
15.997,28.455,22.530,4.494
15.931,31.302,20.525,3.529
16.470,38.830,21.518,3.399
18.570,28.513,20.795,4.182
14.637,31.788,19.688,0.496
15.404,27.210,17.716,3.093
17.580,31.374,15.175,1.903
15.026,28.351,24.044,2.906
16.482,37.266,19.740,0.000
15.898,34.185,18.642,0.948
15.478,31.151,19.536,2.910
13.182,42.648,21.007,1.379
15.161,33.097,18.413,4.831
15.353,47.782,19.642,0.121
17.454,43.538,23.765,3.043
15.150,35.912,17.321,0.719
14.841,28.600,18.168,4.802
15.280,23.758,23.681,2.354
14.562,25.656,15.254,2.177
15.868,35.914,23.025,4.606
14.990,38.177,26.411,2.558
16.338,34.555,20.276,1.806
16.645,32.208,18.639,3.608
15.284,35.582,19.801,1.472
16.218,33.484,18.735,1.318
14.526,39.981,15.315,2.579
16.028,28.921,18.542,2.323
15.526,46.582,17.854,0.483
12.842,39.899,22.788,0.665
13.784,30.456,21.107,3.514
15.513,33.150,15.527,1.686
14.576,35.730,21.725,1.221
16.756,36.066,16.279,1.239
15.107,32.277,19.996,3.370
15.053,38.904,18.790,2.116
15.733,35.050,15.907,1.452
16.759,36.829,18.683,1.958
12.939,40.683,13.170,1.861
15.563,32.418,19.303,2.026
15.999,39.598,16.588,1.334
16.372,32.477,23.904,0.209
14.380,35.374,24.786,2.821
17.084,35.776,17.144,3.209
14.714,38.624,22.491,1.740
